State;Sex;Title;Reward;Description;Link;Additional;Fields of study
Hawaii;Female;HPUBiz4 Good Scholarship Competition;Full Tuition;The HPUBiz4Good Scholarship Competition offers full 4 year tuition at Hawai'i Pacific University College of Business to seniors in high school in the state of Hawaii.;http://www.hawaiipublicschools.org/TeachingAndLearning/CollegeAndCareerReadiness/ScholarshipsAndFinancialAid/Pages/home.aspx?sctitle=*&scgrade=*&sctype=*&scdeadline=1%2f1%2f1900&;Generic;Any Major
Hawaii;Female;Hawaii Rotary Youth Foundation;$10,000;The Hawaii Rotary Youth Foundation grants $5,000 scholarship awards to graduating Hawaii high school seniors applying as full-time students to an accredited four-year college or university in the United States.;http://www.hawaiipublicschools.org/TeachingAndLearning/CollegeAndCareerReadiness/ScholarshipsAndFinancialAid/Pages/home.aspx?sctitle=*&scgrade=*&sctype=*&scdeadline=1%2f1%2f1900&;Generic;Any Major
Hawaii;Female;Mamoru and Aiko Takitani Foundation Scholarship;$2,000;An outstanding graduating senior will be selected by each qualifying school to receive a $1,000 scholarship.;http://takitanifoundation.org/for-students/;Generic;Any Major
Idaho;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Idaho;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Idaho;Male;Horatio Alger State Scholarship - Idaho;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Idaho;Male;Opportunity Scholarship;Varies;"The demand for a well educated workforce was just one of the driving forces behind the creation of Governor C.L. ""Butch"" Otter's Opportunity Scholarship.";https://boardofed.idaho.gov/scholarships/;Generic;Any Major
Idaho;Male;Armed Forces and Public Safety Officer Scholarship;Varies;The Armed Forces and Public Safety Officer Scholarship provides a waiver of fees plus up to $500 per semester for books in addition to on-campus housing and subsistence.;https://boardofed.idaho.gov/scholarships/;"
Military Family";Any Major
Idaho;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Idaho;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Idaho;Female;Horatio Alger State Scholarship - Idaho;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Idaho;Female;Opportunity Scholarship;Varies;"The demand for a well educated workforce was just one of the driving forces behind the creation of Governor C.L. ""Butch"" Otter's Opportunity Scholarship.";https://boardofed.idaho.gov/scholarships/;Generic;Any Major
Idaho;Female;Armed Forces and Public Safety Officer Scholarship;Varies;The Armed Forces and Public Safety Officer Scholarship provides a waiver of fees plus up to $500 per semester for books in addition to on-campus housing and subsistence.;https://boardofed.idaho.gov/scholarships/;"
Military Family";Any Major
Illinois;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Illinois;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Illinois;Male;Horatio Alger State Scholarship - Illinois;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Illinois;Male;Illinois National Guard Grant Program;Varies;If you are a member* of the Illinois National Guard, you may be eligible to receive the Illinois National Guard (ING) Grant. This grant can pay for eligible tuition and certain fees (i.e., registration, graduation, general activity, matriculation and term fees) for undergraduate or graduate study.;https://www.isac.org/students/during-college/types-of-financial-aid/grants/ING-grant-program.html;"
Active Military Duty";Any Major
Illinois;Male;Illinois Special Education Teacher Tuition Waiver (SETTW) Program;Varies;If you are a teacher or an academically talented student pursuing a career in special education as a nonprofit public, private or parochial preschool, elementary or secondary school teacher in Illinois, you may be eligible for the Illinois Special Education Teacher Tuition Waiver Program.;https://www.isac.org/students/during-college/types-of-financial-aid/illinois-and-federal-financial-aid-programs.html;Generic;education
Illinois;Male;Minority Teachers of Illinois (MTI) Scholarship Program;Varies;"If: 1) you plan to teach at a nonprofit Illinois public, private, or parochial preschool, elementary school, or secondary school, for which the Illinois State Board of Education (ISBE) has determined that no less than 30 percent of the enrolled students are African American/Black, Hispanic American, Asian American, or Native American; and 2) you are of African American/Black, Hispanic American, Asian American or Native American origin, then you may qualify for up to $5,000 per year as part of the Minority Teachers of Illinois (MTI) Scholarship Program.";https://www.isac.org/students/during-college/types-of-financial-aid/illinois-and-federal-financial-aid-programs.html;Minority;Education
Illinois;Male;Italian Catholic Federation;$600;This scholarship is for those living in within the Roman Catholic Dioceses of Arizona, California, Illinois and Nevada and a member of the Italian Catholic Federation.;https://www.icf.org/scholarships/;Generic;Any Major
